company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
ABB,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
ABB,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (17.9%) reflects strong business momentum,85.0
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIENSOL,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,94.0
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (19.0%) reflects strong business momentum,85.0
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (35.0%) reflects strong business momentum,85.0
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,94.0
ADANIGREEN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (19.6%) reflects strong business momentum,85.0
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ADANIPORTS,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
ADANIPORTS,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (16.1%) reflects strong business momentum,85.0
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
ADANIPOWER,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
AMBUJACEM,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
AMBUJACEM,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,76.0
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
